cenario,metodo,RMSE,RB,PB,MAE,MAPE,descricao_cenario
1,casos_completos,0.009063103,-0.0002892675,,0.009063103,0.028926745,"Proporção de missing: 0.1, Mecanismo: MCAR"
1,pmm,0.299887458,-0.009571521,,0.299887458,0.957152082,"Proporção de missing: 0.2, Mecanismo: MCAR"
2,casos_completos,0.001618162,5.164696e-05,,0.001618162,0.005164696,"Proporção de missing: 0.3, Mecanismo: MCAR"
2,pmm,0.185692758,-0.005926764,,0.185692758,0.59267637,"Proporção de missing: 0.1, Mecanismo: MAR"
3,casos_completos,0.013220563,-0.0004219613,,0.013220563,0.042196126,"Proporção de missing: 0.2, Mecanismo: MAR"
3,pmm,0.275939279,-0.008807166,,0.275939279,0.880716578,"Proporção de missing: 0.3, Mecanismo: MAR"
4,casos_completos,0.341157637,0.01088874,,0.341157637,1.088874289,"Proporção de missing: 0.1, Mecanismo: MNAR"
4,pmm,0.211823861,-0.006760791,,0.211823861,0.676079125,"Proporção de missing: 0.2, Mecanismo: MNAR"
5,casos_completos,0.74304378,0.02371576,,0.74304378,2.371576012,"Proporção de missing: 0.3, Mecanismo: MNAR"
5,pmm,0.25114495,-0.008015804,,0.25114495,0.801580413,"Proporção de missing: 0.1, Mecanismo: MCAR"
6,casos_completos,1.201566511,0.03835045,,1.201566511,3.835044976,"Proporção de missing: 0.2, Mecanismo: MCAR"
6,pmm,0.243273622,-0.007764575,,0.243273622,0.776457461,"Proporção de missing: 0.3, Mecanismo: MCAR"
7,casos_completos,0.605116105,0.01931352,,0.605116105,1.931351664,"Proporção de missing: 0.1, Mecanismo: MAR"
7,pmm,0.040599043,0.001295801,,0.040599043,0.129580139,"Proporção de missing: 0.2, Mecanismo: MAR"
8,casos_completos,1.354613239,0.04323525,,1.354613239,4.323524872,"Proporção de missing: 0.3, Mecanismo: MAR"
8,pmm,0.548452595,0.01750498,,0.548452595,1.750498495,"Proporção de missing: 0.1, Mecanismo: MNAR"
9,casos_completos,2.289407935,0.07307113,,2.289407935,7.307113105,"Proporção de missing: 0.2, Mecanismo: MNAR"
9,pmm,0.858285712,0.02739394,,0.858285712,2.739394179,"Proporção de missing: 0.3, Mecanismo: MNAR"
