"","metodo","RMSE","RB","MAE","MAPE","descricao_cenario","mecanismo"
"1","casos_completos","0,009","0","0,009","0,029","Proporção de missing: 0.1, Mecanismo: MCAR","MCAR"
"2","pmm","0,3","-0,01","0,3","0,957","Proporção de missing: 0.2, Mecanismo: MCAR","MCAR"
"3","casos_completos","0,002","0","0,002","0,005","Proporção de missing: 0.3, Mecanismo: MCAR","MCAR"
"4","pmm","0,186","-0,006","0,186","0,593","Proporção de missing: 0.1, Mecanismo: MAR","MAR"
"5","casos_completos","0,013","0","0,013","0,042","Proporção de missing: 0.2, Mecanismo: MAR","MAR"
"6","pmm","0,276","-0,009","0,276","0,881","Proporção de missing: 0.3, Mecanismo: MAR","MAR"
"7","casos_completos","0,341","0,011","0,341","1,089","Proporção de missing: 0.1, Mecanismo: MNAR","MNAR"
"8","pmm","0,212","-0,007","0,212","0,676","Proporção de missing: 0.2, Mecanismo: MNAR","MNAR"
"9","casos_completos","0,743","0,024","0,743","2,372","Proporção de missing: 0.3, Mecanismo: MNAR","MNAR"
"10","pmm","0,251","-0,008","0,251","0,802","Proporção de missing: 0.1, Mecanismo: MCAR","MCAR"
"11","casos_completos","1,202","0,038","1,202","3,835","Proporção de missing: 0.2, Mecanismo: MCAR","MCAR"
"12","pmm","0,243","-0,008","0,243","0,776","Proporção de missing: 0.3, Mecanismo: MCAR","MCAR"
"13","casos_completos","0,605","0,019","0,605","1,931","Proporção de missing: 0.1, Mecanismo: MAR","MAR"
"14","pmm","0,041","0,001","0,041","0,13","Proporção de missing: 0.2, Mecanismo: MAR","MAR"
"15","casos_completos","1,355","0,043","1,355","4,324","Proporção de missing: 0.3, Mecanismo: MAR","MAR"
"16","pmm","0,548","0,018","0,548","1,75","Proporção de missing: 0.1, Mecanismo: MNAR","MNAR"
"17","casos_completos","2,289","0,073","2,289","7,307","Proporção de missing: 0.2, Mecanismo: MNAR","MNAR"
"18","pmm","0,858","0,027","0,858","2,739","Proporção de missing: 0.3, Mecanismo: MNAR","MNAR"
